date,symbol,cluster
2023-07-15,BNB,0
2023-07-16,BNB,0
2023-07-17,BNB,0
2023-07-18,BNB,0
2023-07-19,BNB,0
2023-07-20,BNB,0
2023-07-21,BNB,0
2023-07-22,BNB,1
2023-07-23,BNB,1
2023-07-24,BNB,1
2023-07-25,BNB,0
2023-07-26,BNB,1
2023-07-27,BNB,1
2023-07-28,BNB,0
2023-07-29,BNB,0
2023-07-30,BNB,1
2023-07-31,BNB,0
2023-08-01,BNB,1
2023-08-02,BNB,1
2023-08-03,BNB,0
2023-08-04,BNB,1
2023-08-05,BNB,0
2023-08-06,BNB,0
2023-08-07,BNB,1
2023-08-08,BNB,0
2023-08-09,BNB,0
2023-08-10,BNB,0
2023-08-11,BNB,1
2023-08-12,BNB,0
2023-08-13,BNB,0
2023-08-14,BNB,1
2023-08-15,BNB,0
2023-08-16,BNB,0
2023-08-17,BNB,0
2023-08-18,BNB,0
2023-08-19,BNB,0
2023-08-20,BNB,0
2023-08-21,BNB,0
2023-08-22,BNB,1
2023-08-23,BNB,1
2023-08-24,BNB,1
2023-08-25,BNB,0
2023-08-26,BNB,1
2023-08-27,BNB,0
2023-08-28,BNB,1
2023-08-29,BNB,0
2023-08-30,BNB,0
2023-08-31,BNB,0
2023-09-01,BNB,1
2023-09-02,BNB,1
2023-09-03,BNB,0
2023-09-04,BNB,1
2023-09-05,BNB,0
2023-09-06,BNB,0
2023-09-07,BNB,0
2023-09-08,BNB,0
2023-09-09,BNB,0
2023-09-10,BNB,0
2023-09-11,BNB,1
2023-09-12,BNB,0
2023-09-13,BNB,1
2023-09-14,BNB,1
2023-09-15,BNB,0
2023-09-16,BNB,1
2023-09-17,BNB,1
2023-09-18,BNB,1
2023-09-19,BNB,1
2023-09-20,BNB,1
2023-09-21,BNB,1
2023-09-22,BNB,1
2023-09-23,BNB,1
2023-09-24,BNB,1
2023-09-25,BNB,1
2023-09-26,BNB,0
2023-09-27,BNB,0
2023-09-28,BNB,1
2023-09-29,BNB,1
2023-09-30,BNB,1
2023-10-01,BNB,1
2023-10-02,BNB,1
2023-10-03,BNB,1
2023-10-04,BNB,1
2023-10-05,BNB,1
2023-10-06,BNB,1
2023-10-07,BNB,1
2023-10-08,BNB,1
2023-10-09,BNB,1
2023-10-10,BNB,1
2023-10-11,BNB,1
2023-10-12,BNB,1
2023-10-13,BNB,1
2023-10-14,BNB,1
2023-10-15,BNB,1
2023-10-16,BNB,1
2023-10-17,BNB,1
2023-10-18,BNB,1
2023-10-19,BNB,1
2023-10-20,BNB,1
2023-10-21,BNB,0
2023-10-22,BNB,1
2023-10-23,BNB,0
2023-10-24,BNB,1
2023-10-25,BNB,1
2023-10-26,BNB,0
2023-10-27,BNB,1
2023-10-28,BNB,1
2023-10-29,BNB,1
2023-10-30,BNB,0
2023-10-31,BNB,1
2023-11-01,BNB,1
2023-11-02,BNB,1
2023-11-03,BNB,1
2023-11-04,BNB,1
2023-11-05,BNB,0
2023-11-06,BNB,0
2023-11-07,BNB,1
2023-11-08,BNB,1
2023-11-09,BNB,1
2023-11-10,BNB,1
2023-11-11,BNB,1
2023-11-12,BNB,1
2023-11-13,BNB,1
2023-11-14,BNB,1
2023-11-15,BNB,0
2023-11-16,BNB,1
2023-11-17,BNB,1
2023-11-18,BNB,1
2023-11-19,BNB,1
2023-11-20,BNB,1
2023-11-21,BNB,1
2023-11-22,BNB,1
2023-11-23,BNB,0
2023-11-24,BNB,1
2023-11-25,BNB,1
